SEG_ID,START_POINT,END_POINT,COUNT
169.0,POINT (465921.2280555939 4436350.248165717),POINT (465907.6552711013 4436467.201937277),15
170.0,POINT (465896.4 4436563.8),POINT (465907.7 4436467.2),32
170.0,POINT (465896.4411425096 4436563.812099188),POINT (465907.6552711013 4436467.201937277),13
170.0,POINT (465907.6552711013 4436467.201937277),POINT (465896.4411425096 4436563.812099188),6
170.0,POINT (465907.7 4436467.2),POINT (465896.4 4436563.8),9
174.0,POINT (466567.9921883022 4434140.926782064),POINT (466406.05365496036 4434127.706322612),6
176.0,POINT (466515.6657563837 4434156.000343474),POINT (466435.7376006065 4434146.743129723),7
181.0,POINT (466080.2 4434134.8),POINT (466091.8 4434035.4),3
182.0,POINT (466068.5 4434236.2),POINT (466080.2 4434134.8),6
183.0,POINT (466057.1 4434333.8),POINT (466068.5 4434236.2),55
183.0,POINT (466057.11321888864 4434333.838156549),POINT (466068.4542988343 4434236.162284255),69
184.0,POINT (466046.3 4434426.6),POINT (466057.1 4434333.8),86
184.0,POINT (466046.33797905967 4434426.640689844),POINT (466057.11321888864 4434333.838156549),38
185.0,POINT (466035.57143583614 4434519.368323024),POINT (466046.33797905967 4434426.640689844),51
185.0,POINT (466035.6 4434519.4),POINT (466046.3 4434426.6),73
186.0,POINT (466023.9 4434619.6),POINT (466035.6 4434519.4),81
186.0,POINT (466023.9324430404 4434619.609991297),POINT (466035.57143583614 4434519.368323024),39
187.0,POINT (466011.8 4434724.4),POINT (466023.9 4434619.6),73
188.0,POINT (466000.6 4434821.2),POINT (466011.8 4434724.4),73
189.0,POINT (465946.3541692812 4435288.409223063),POINT (466000.5772855412 4434821.187850649),78
190.0,POINT (465935 4435385.5),POINT (465946.4 4435288.4),26
191.0,POINT (465929.5 4435433.6),POINT (465935 4435385.5),24
192.0,POINT (465923.9 4435482.1),POINT (465929.5 4435433.6),24
193.0,POINT (465887.2333221352 4435797.834464589),POINT (465923.8813774334 4435482.050386203),29
194.0,POINT (465881.6 4435846.2),POINT (465887.2 4435797.8),23
195.0,POINT (465876 4435894.7),POINT (465881.6 4435846.2),23
196.0,POINT (465864.8 4435991.5),POINT (465876 4435894.7),23
197.0,POINT (465858.1 4436048.6),POINT (465864.8 4435991.5),10
197.0,POINT (465858.13404451497 4436048.574988762),POINT (465864.7606740007 4435991.475656284),13
197.0,POINT (465864.7606740007 4435991.475656284),POINT (465858.13404451497 4436048.574988762),1
197.0,POINT (465864.8 4435991.5),POINT (465858.1 4436048.6),1
198.0,POINT (465852.5 4436097),POINT (465858.1 4436048.6),23
198.0,POINT (465858.1 4436048.6),POINT (465852.5 4436097),2
199.0,POINT (465846.9 4436145.4),POINT (465852.5 4436097),23
199.0,POINT (465852.5 4436097),POINT (465846.9 4436145.4),2
200.0,POINT (465841.3 4436193.8),POINT (465846.9 4436145.4),21
200.0,POINT (465846.9 4436145.4),POINT (465841.3 4436193.8),2
201.0,POINT (465835.7 4436242.2),POINT (465841.3 4436193.8),21
201.0,POINT (465841.3 4436193.8),POINT (465835.7 4436242.2),2
202.0,POINT (465824.4 4436339),POINT (465835.7 4436242.2),15
202.0,POINT (465824.4249194898 4436339.036874084),POINT (465835.6613580398 4436242.216136934),6
202.0,POINT (465835.7 4436242.2),POINT (465824.4 4436339),3
203.0,POINT (465810.9125500433 4436455.784519576),POINT (465824.4249194898 4436339.036874084),21
203.0,POINT (465824.4249194898 4436339.036874084),POINT (465810.9125500433 4436455.784519576),5
204.0,POINT (465799.6 4436552.6),POINT (465810.9 4436455.8),16
204.0,POINT (465810.9 4436455.8),POINT (465799.6 4436552.6),5
205.0,POINT (465788.7568763895 4436646.380171407),POINT (465799.59980615973 4436552.596114185),11
205.0,POINT (465788.8 4436646.4),POINT (465799.6 4436552.6),5
205.0,POINT (465799.59980615973 4436552.596114185),POINT (465788.7568763895 4436646.380171407),4
205.0,POINT (465799.6 4436552.6),POINT (465788.8 4436646.4),1
206.0,POINT (465784.4 4436684.4),POINT (465788.8 4436646.4),5
206.0,POINT (465788.8 4436646.4),POINT (465784.4 4436684.4),4
207.0,POINT (465776.5 4436751.3),POINT (465784.4 4436684.4),2
207.0,POINT (465784.3764990596 4436684.387026019),POINT (465776.5336042 4436751.31329428),1
207.0,POINT (465784.4 4436684.4),POINT (465776.5 4436751.3),8
208.0,POINT (465773.9 4436774.5),POINT (465776.5 4436751.3),2
208.0,POINT (465776.5 4436751.3),POINT (465773.9 4436774.5),18
209.0,POINT (465773.89041815326 4436774.4812462665),POINT (465762.654038528 4436871.301839473),3
209.0,POINT (465773.9 4436774.5),POINT (465762.7 4436871.3),13
210.0,POINT (465762.654038528 4436871.301839473),POINT (465751.4177940823 4436968.122466505),9
210.0,POINT (465762.7 4436871.3),POINT (465751.4 4436968.1),9
211.0,POINT (465751.4177940823 4436968.122466505),POINT (465731.35081715975 4437140.640351888),20
212.0,POINT (465731.4 4437140.6),POINT (465721 4437229.5),20
213.0,POINT (465721 4437229.5),POINT (465710.7 4437318.7),20
214.0,POINT (465710.69786958024 4437318.6537545435),POINT (465670.9415982468 4437661.386731602),20
215.0,POINT (465670.9 4437661.4),POINT (465659.6 4437759.6),16
219.0,POINT (466335 4433905.2),POINT (466345.7 4433914.9),1
219.0,POINT (466345.7 4433914.9),POINT (466335 4433905.2),10
220.0,POINT (466335 4433905.2),POINT (466344.4 4433965.3),5
220.0,POINT (466335.02982984204 4433905.158145452),POINT (466344.40403110255 4433965.332252219),1
220.0,POINT (466344.4 4433965.3),POINT (466335 4433905.2),3
220.0,POINT (466344.40403110255 4433965.332252219),POINT (466335.02982984204 4433905.158145452),2
221.0,POINT (466334.2 4434053.5),POINT (466344.4 4433965.3),5
222.0,POINT (466344.4 4433965.3),POINT (466295.1 4434008.2),6
223.0,POINT (466333.2 4434062.2),POINT (466295.1 4434008.2),7
224.0,POINT (466372.2 4434017.6),POINT (466334.2 4434053.5),6
225.0,POINT (466333.2 4434062.2),POINT (466334.2 4434053.5),5
225.0,POINT (466334.2 4434053.5),POINT (466333.2 4434062.2),6
226.0,POINT (466322.7 4434152.8),POINT (466333.2 4434062.2),8
